ID,Name,Age,Hours_of_Sleep,Stress_Level,Exercise_Frequency,Work_Productivity,sleep_group
1,Lucas,58,6.759754125,8.388346157,5,8.272610659,Normal
2,Noah,48,9.429665198,1.690975856,0,10.0,High
3,Elijah,34,5.97608807,5.850842151,4,10.0,Low
4,Logan,27,6.982863343,8.277182243,2,10.0,Normal
5,Isabella,40,7.24228893,7.960322627,1,7.893944638,Normal
6,Amelia,58,6.034315978,7.172122102,2,8.037643436,Normal
7,Mason,38,5.271216713,1.0,1,10.0,Low
8,Isabella,42,7.323181185,6.959085533,2,9.774904149,Normal
9,Charlotte,30,9.176399891,5.063792203,1,10.0,High
10,Elijah,30,7.485499474,7.491715057,5,9.034814296,Normal
11,Liam,43,7.108087104,6.012322917,3,9.396162573,Normal
12,Sophia,55,7.099276523,5.460236779,1,10.0,Normal
13,Emma,59,6.689898717,6.781807699,1,9.169144163,Normal
14,Logan,43,8.420178784,5.156173258,0,10.0,High
15,Olivia,22,6.393469271,5.45144544,1,10.0,Normal
16,Charlotte,41,5.371857419,4.389552002,0,10.0,Low
17,Isabella,21,5.102015289,2.289182018,4,10.0,Low
18,Noah,43,7.094810817,6.635706948,5,10.0,Normal
19,Noah,49,8.272830956,3.887939361,0,10.0,High
20,Mason,57,7.284982302,5.098416268,3,10.0,Normal
21,Sophia,21,6.619157458,6.073947917,5,9.149457989,Normal
22,Logan,40,7.550129556,1.329564713,0,10.0,Normal
23,Amelia,52,7.223454813,1.777302193,5,10.0,Normal
24,Abigail,31,7.991428568,4.900522847,5,10.0,Normal
25,Lucas,41,8.591804665,6.409126965,5,10.0,High
26,Olivia,44,5.854731846,6.988076541,4,8.662137543,Low
27,Sophia,46,4.192484124,2.317371008,3,10.0,Low
28,Aarav,47,6.578155842,6.773262969,2,9.453238445,Normal
29,Abigail,35,5.776790239,5.009860763,2,9.688899966,Low
30,Harper,34,7.998349824,3.73368551,0,10.0,Normal
31,Mason,22,6.130799446,4.202896288,5,10.0,Normal
32,Logan,56,4.749065634,7.103714664,0,8.280158521,Low
33,Ava,26,6.310958261,6.04801157,4,10.0,Normal
34,Amelia,40,5.209630809,5.600613046,4,10.0,Low
35,Isabella,28,8.908189263,5.986991478,1,10.0,High
36,Mason,58,7.565970345,7.356195553,4,9.421104378,Normal
37,Mia,37,7.777069731,5.305800865,1,9.928777895,Normal
38,Emma,23,7.643231842,5.608637773,3,10.0,Normal
39,Liam,44,8.008205391,7.77634148,0,8.438863732,High
40,Sophia,33,8.36001043,4.836826751,3,10.0,High
41,Ethan,28,6.352305569,6.736281191,4,10.0,Normal
42,Aarav,45,5.29604604,4.492591039,3,10.0,Low
43,Ethan,21,5.983679515,4.668265317,3,10.0,Low
44,Abigail,39,6.945700452,5.291900486,3,10.0,Normal
45,Amelia,47,4.0,6.530545706,4,8.239699106,Low
46,Harper,26,8.37127106,7.888363925,5,9.300645987,High
47,Harper,27,4.723903336,5.693090527,3,7.539590924,Low
48,Lucas,54,7.718911991,2.500326177,1,10.0,Normal
49,Olivia,33,6.798315053,6.762892587,4,9.844183364,Normal
50,Elijah,36,7.34221039,10.0,3,8.823793994,Normal
51,Ethan,55,6.43369631,5.717337662,5,10.0,Normal
52,Olivia,59,7.260647773,2.082464722,4,10.0,Normal
53,Mason,23,6.433746971,5.839305779,2,9.13406104,Normal
54,Jacob,21,6.332582625,5.493974794,5,10.0,Normal
55,Mia,25,5.923316402,5.325782313,1,10.0,Low
56,Lucas,23,8.830995949,7.3908198,3,10.0,High
57,Ava,48,7.440291301,8.256549573,2,10.0,Normal
58,Aarav,37,7.251396235,6.86717149,2,10.0,Normal
59,Ava,45,5.949325854,5.233883831,4,10.0,Low
60,Elijah,53,6.718182,7.751357569,2,8.350724663,Normal
61,Olivia,29,5.815324951,2.512340718,1,10.0,Low
62,Ava,55,6.410603766,4.067887759,1,9.651660572,Normal
63,Noah,33,5.549053133,4.290744443,0,9.785357581,Low
64,Mia,50,8.906972959,5.438098704,1,10.0,High
65,Emma,34,6.091712691,6.513469325,5,7.874544691,Normal
66,Emma,27,5.949905413,5.098574103,2,9.285845524,Low
67,Elijah,33,5.409267669,3.687928411,1,10.0,Low
68,Mason,42,6.074553446,7.449700569,4,8.265708221,Normal
69,Amelia,59,6.406127887,5.029086556,0,9.763783255,Normal
70,Olivia,40,6.940624537,5.704257842,2,9.837893824,Normal
71,Ava,35,6.225613349,6.602135491,0,8.945493204,Normal
72,Mia,37,5.079266789,5.577755216,2,8.809416508,Low
73,Liam,43,5.182510187,5.586543389,4,8.990358489,Low
74,Abigail,45,7.815591603,7.560946841,0,10.0,Normal
75,Evelyn,44,6.852653501,5.802738949,3,10.0,Normal
76,Lucas,48,7.77867189,7.225593972,5,8.949544886,Normal
77,Mason,34,7.936330197,6.589334889,5,8.306886246,Normal
78,Mia,20,7.181295955,9.533775088,2,8.921082804,Normal
79,Logan,44,5.521923079,6.318826836,3,8.286625103,Low
80,Amelia,26,7.227501904,6.77594654,0,9.718378899,Normal
81,Ethan,28,8.679515977,7.703313428,3,8.765232433,High
82,Isabella,43,6.463086371,5.62723552,3,10.0,Normal
83,Isabella,20,7.408738302,4.224293807,0,10.0,Normal
84,Elijah,27,6.983466454,4.551708838,4,10.0,Normal
85,Jacob,43,8.646853356,4.570986149,3,10.0,High
86,Lucas,30,6.186656688,3.599338064,3,10.0,Normal
87,Elijah,36,8.384238246,6.135610338,4,10.0,High
88,Ava,27,6.549987246,4.240966904,3,10.0,Normal
89,Ava,54,6.167024856,5.889705642,3,10.0,Normal
90,Olivia,54,7.131832088,5.182651113,3,10.0,Normal
91,Mason,52,7.410948302,5.416757013,5,10.0,Normal
92,Lucas,24,9.293835528,6.612113296,1,10.0,High
93,Lucas,58,7.383445095,4.416201751,4,10.0,Normal
94,Aarav,47,7.231933674,6.777782092,3,9.816485245,Normal
